From Date,To Date,PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Eth-Benzene,MP-Xylene,RH,WS,WD,BP,Xylene,AT,RF,TOT-RF,aqi
2021-01-01 00:00:00,2021-01-01 00:15:00,147.26,175.93,16.23,61.72,45.3,79.76,4.68,1.38,13.0,0.0,0.0,3.0,4.01,94.14,0.46,187.53,953.2,0.0,21.84,0.0,0.0,357.0
2021-01-01 00:15:00,2021-01-01 00:30:00,145.37,173.96,16.88,61.5,45.75,79.01,18.49,1.38,15.0,0.0,0.0,3.0,4.01,94.99,0.47,224.11,953.2,0.0,21.84,0.0,0.0,357.0
2021-01-01 00:30:00,2021-01-01 00:45:00,156.71,186.12,22.71,62.99,51.15,84.96,17.62,1.27,10.0,0.0,0.0,3.0,4.01,93.88,0.46,212.47,953.2,0.0,22.01,0.0,0.0,357.0
2021-01-01 00:45:00,2021-01-01 01:00:00,171.18,205.41,16.55,59.13,44.19,77.83,18.14,1.23,12.0,0.0,0.0,3.0,4.01,93.38,0.27,216.65,954.2,0.0,21.99,0.0,0.0,357.0
2021-01-01 01:00:00,2021-01-01 01:15:00,183.17,219.31,20.39,59.87,47.66,81.63,18.69,1.24,14.0,0.0,0.0,3.0,4.01,92.44,0.17,103.12,954.9,0.0,22.04,0.0,0.0,357.0
2021-01-01 01:15:00,2021-01-01 01:30:00,208.08,247.18,23.21,58.7,49.3,82.07,19.48,1.26,12.0,0.0,0.0,3.0,4.01,92.69,0.29,81.38,958.8,0.0,22.0,0.0,0.0,357.0
2021-01-01 01:30:00,2021-01-01 01:45:00,223.56,262.69,23.3,57.12,48.59,81.47,17.41,1.27,12.0,0.0,0.0,3.0,4.01,92.2,0.05,106.36,953.6,0.0,22.07,0.0,0.0,357.0
2021-01-01 01:45:00,2021-01-01 02:00:00,227.84,264.75,20.2,57.38,46.12,79.16,17.37,1.26,11.0,0.0,0.0,3.0,4.01,92.59,0.27,110.95,953.6,0.0,21.92,0.0,0.0,357.0
2021-01-01 02:00:00,2021-01-01 02:15:00,230.18,265.82,15.7,60.54,44.24,77.08,18.53,1.25,17.0,0.0,0.0,3.0,4.01,93.64,0.39,126.55,953.6,0.0,21.78,0.0,0.0,357.0
2021-01-01 02:15:00,2021-01-01 02:30:00,225.71,257.85,20.0,56.27,45.48,77.68,21.68,1.26,14.0,0.0,0.0,3.0,4.01,96.17,0.42,132.71,953.6,0.0,21.43,0.0,0.0,357.0
2021-01-01 02:30:00,2021-01-01 02:45:00,223.67,255.13,42.04,50.73,60.22,90.25,25.14,1.23,13.0,0.0,0.0,3.0,4.01,96.41,0.29,94.28,953.6,0.0,21.37,0.0,0.0,357.0
2021-01-01 02:45:00,2021-01-01 03:00:00,228.52,260.47,43.56,52.2,62.25,93.26,22.71,1.26,11.0,0.0,0.0,3.0,4.01,96.09,0.28,97.47,963.3,0.0,21.33,0.0,0.0,357.0
